,Value
0,#content
1,https://www.facebook.com/altnews.in
2,https://twitter.com/altnews
3,https://instagram.com/altnews.in
4,https://www.youtube.com/AltNewsVIdeos
5,https://www.altnews.in/feed/
6,javascript:void(0)
7,https://www.altnews.in/
8,https://www.altnews.in
9,https://www.altnews.in/donate/
10,https://www.altnews.in/hindi/
11,https://www.altnews.in/about/
12,https://www.altnews.in/editorial-policy/
13,https://www.altnews.in/alt-news-policy-on-hate-speech/
14,https://www.altnews.in/methodology-for-fact-checking/
15,https://www.altnews.in/sourcing-of-information/
16,https://www.altnews.in/privacy-policy/
17,https://www.altnews.in/transparency-of-funding/
18,https://www.altnews.in/editorial-team/
19,https://www.altnews.in/directors/
20,https://www.altnews.in/correction-policy/
21,https://www.altnews.in/contact/
22,https://www.altnews.in/subscribe-alt-news-via-email/
23,javascript:void(0)
24,javascript:void(0)
25,https://www.altnews.in/
26,javascript:void(0)
27,https://www.altnews.in/edited-video-of-dallewal-shared-as-farmers-protest-is-an-attempt-to-bring-graph-of-modi-down/
28,https://www.altnews.in/topics/media-analysis/
29,https://www.altnews.in/topics/politics/
30,https://www.altnews.in/edited-video-of-dallewal-shared-as-farmers-protest-is-an-attempt-to-bring-graph-of-modi-down/
31,https://www.altnews.in/author/abhishekkumar/
32,https://www.altnews.in/farmers-protest-viral-video-of-elderly-ladys-outburst-is-from-november-2022/
33,https://www.altnews.in/topics/politics/
34,https://www.altnews.in/farmers-protest-viral-video-of-elderly-ladys-outburst-is-from-november-2022/
35,https://www.altnews.in/author/oishani/
36,https://www.altnews.in/farmers-protest-fortified-tractor-video-is-from-turkey-shared-falsely/
37,https://www.altnews.in/topics/politics/
38,https://www.altnews.in/farmers-protest-fortified-tractor-video-is-from-turkey-shared-falsely/
39,https://www.altnews.in/author/shinjinee/
40,https://www.altnews.in/to-report-or-not-to-report-the-ujjain-thook-kand-exposed-mainstream-medias-anti-muslim-bias-yet-again/
41,https://www.altnews.in/topics/politics/
42,https://www.altnews.in/to-report-or-not-to-report-the-ujjain-thook-kand-exposed-mainstream-medias-anti-muslim-bias-yet-again/
43,https://www.altnews.in/author/oishani/
44,https://www.altnews.in/squint-neon-a-sordid-saga-of-anti-muslim-hate-online-harassment-of-interfaith-couples-on-x/
45,https://www.altnews.in/topics/politics/
46,https://www.altnews.in/squint-neon-a-sordid-saga-of-anti-muslim-hate-online-harassment-of-interfaith-couples-on-x/
47,https://www.altnews.in/author/shinjinee/
48,https://www.altnews.in/alt-news-investigation-multiple-handles-run-bogus-fundraisers-on-x-benefiting-a-certain-sandeep-mandal/
49,https://www.altnews.in/topics/politics/
50,https://www.altnews.in/alt-news-investigation-multiple-handles-run-bogus-fundraisers-on-x-benefiting-a-certain-sandeep-mandal/
51,https://www.altnews.in/author/abhishekkumar/
52,https://www.altnews.in/author/oishani/
53,https://www.altnews.in/author/mzubair/
54,https://www.altnews.in/donate/
55,https://www.altnews.in/somnath-bharti-shares-old-video-of-bjp-corporator-thrashing-a-cop-with-misleading-narrative/
56,https://www.altnews.in/somnath-bharti-shares-old-video-of-bjp-corporator-thrashing-a-cop-with-misleading-narrative/
57,https://www.altnews.in/author/jignesh/
58,https://www.altnews.in/jeep-at-farmers-protest-is-not-mercedes-benz-worth-rs-1-5-crore/
59,https://www.altnews.in/jeep-at-farmers-protest-is-not-mercedes-benz-worth-rs-1-5-crore/
60,https://www.altnews.in/author/mzubair/
61,https://www.altnews.in/old-fake-cheque-claiming-vijay-mallya-donated-rs-35-cr-to-bjp-before-leaving-india-revived-again-with-false-claim/
62,https://www.altnews.in/old-fake-cheque-claiming-vijay-mallya-donated-rs-35-cr-to-bjp-before-leaving-india-revived-again-with-false-claim/
63,https://www.altnews.in/author/kinjal/
64,https://www.altnews.in/fact-check-viral-manmohan-singh-tweets-praising-narendra-modi-are-fake/
65,https://www.altnews.in/fact-check-viral-manmohan-singh-tweets-praising-narendra-modi-are-fake/
66,https://www.altnews.in/author/oishani/
67,https://www.altnews.in/squint-neon-a-sordid-saga-of-anti-muslim-hate-online-harassment-of-interfaith-couples-on-x/
68,https://www.altnews.in/squint-neon-a-sordid-saga-of-anti-muslim-hate-online-harassment-of-interfaith-couples-on-x/
69,https://www.altnews.in/author/shinjinee/
70,https://www.altnews.in/ladder-walking-its-a-phenomenon-called-passive-dynamic-walking-nothing-paranormal-about-it/
71,https://www.altnews.in/ladder-walking-its-a-phenomenon-called-passive-dynamic-walking-nothing-paranormal-about-it/
72,https://www.altnews.in/author/shinjinee/
73,https://www.altnews.in/misleading-video-claiming-dry-ginger-can-cure-omicron-is-scientifically-baseless/
74,https://www.altnews.in/author/archit-mehta/
75,https://www.altnews.in/stone-dissolve-iron-false-claim-that-its-a-miracle-stone-found-in-afganistan/
76,https://www.altnews.in/author/kinjal/
77,https://www.altnews.in/fake-chart-shows-covid-19-variant-timeline-predicting-release-dates/
78,https://www.altnews.in/author/archit-mehta/
79,javascript:void(0)
80,https://www.facebook.com/altnews.in/
81,https://twitter.com/altnews
82,https://www.altnews.in/false-claim-of-muslim-population-of-haldwani-uttrakhand-increased-1000-to-one-lakh-in-20-years/
83,https://www.altnews.in/topics/politics/
84,https://www.altnews.in/false-claim-of-muslim-population-of-haldwani-uttrakhand-increased-1000-to-one-lakh-in-20-years/
85,https://www.altnews.in/author/abhishekkumar/
86,https://www.altnews.in/author/abhishekkumar/
87,https://www.altnews.in/bangladeshi-hindu-girls-converted-to-islam-out-of-free-will-video-viral-with-false-claims/
88,https://www.altnews.in/topics/politics/
89,https://www.altnews.in/bangladeshi-hindu-girls-converted-to-islam-out-of-free-will-video-viral-with-false-claims/
90,https://www.altnews.in/author/oishani/
91,https://www.altnews.in/author/oishani/
92,https://creativecommons.org/licenses/by/3.0/
